Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand
92,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,20 to 29,26,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.463068557
93,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,39,Switzerland,Switzerland,Switzerland,01-04-2014,6,0.265054313
94,Male,4 - Manager,N,2,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,2,4 - Manager,N,3,40 to 49,44,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.618640141
95,Male,3 - Senior Manager,N,4,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,3,3 - Senior Manager,N,3,40 to 49,40,Germany,Europe,Europe,01-04-2012,8,0.996131969
96,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,25,France,Europe,Europe,01-04-2019,1,0.379852898
97,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,HR,,4 - Manager,HR,Full Time,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,2,4 - Manager,N,3,40 to 49,40,Germany,Europe,Europe,01-04-2017,3,0.257330731
98,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Operations,,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.60888932
99,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,28,France,Europe,Europe,01-04-2017,3,0.36990982
100,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,30 to 39,39,Germany,Europe,Europe,01-04-2014,6,0.267223007
101,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Germany,Europe,Europe,01-04-2018,2,0.002687085
102,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,,40 to 49,40,Israel,Middle East,Elsewhere,01-04-2018,2,0.861981241
103,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,5,6 - Junior Officer,N,3,20 to 29,22,France,Europe,Europe,01-04-2015,5,0.40977487
104,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,28,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.322732739
105,Male,4 - Manager,Y,,No,No,0.50,No,N,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,0,,N,,30 to 39,30,France,Europe,Europe,01-04-2020,0,0.844826373
106,Male,2 - Director,N,1,No,Yes,0.50,No,Y,Sales & Marketing,,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,35,France,Europe,Europe,01-04-2017,3,0.908405578
107,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.476040393
108,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,6,3 - Senior Manager,N,3,30 to 39,34,France,Europe,Europe,01-04-2014,6,0.025674821
109,Male,6 - Junior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,,N,,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.894924879
110,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,28,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.577964432
111,Female,5 - Senior Officer,Y,,No,No,0.50,No,N,Finance,,5 - Senior Officer,Finance,Full Time,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,0,,N,,30 to 39,33,Germany,Europe,Europe,01-04-2020,0,0.827859419
112,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,27,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.409327133
113,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Strategy,,2 - Director,Strategy,Full Time,Full Time,Inconclusive,2 - Director & Strategy,Uneven - Men benefit,2 - Director,4,2 - Director,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.943399071
114,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2013,7,0.299722107
115,Male,2 - Director,N,3,No,No,0.50,Yes,Y,Finance,FY20,,Finance,Full Time,Full Time,,,,,3,2 - Director,N,4,40 to 49,49,Switzerland,Switzerland,Switzerland,01-04-2014,6,0.336508481
116,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,,20 to 29,26,France,Europe,Europe,01-04-2018,2,0.597038315
117,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,1,5 - Senior Officer,Y,1,30 to 39,33,France,Europe,Europe,01-04-2013,7,0.076855652
118,Female,3 - Senior Manager,N,,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,2,3 - Senior Manager,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.102594253
119,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,80%,Part Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,22,France,Europe,Europe,01-04-2019,1,0.919246808
120,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,30 to 39,34,Switzerland,Switzerland,Switzerland,01-04-2014,6,0.369413663
121,Male,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,3,6 - Junior Officer,N,3,40 to 49,46,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.18765633
122,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,2,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.111698081
123,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,30 to 39,30,Lebanon,Middle East,Elsewhere,01-04-2018,2,0.937524224
124,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.280556241
125,Male,3 - Senior Manager,Y,,No,No,0.50,No,N,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,,N,,30 to 39,38,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.567209159
126,Female,6 - Junior Officer,Y,,No,No,0.50,No,N,Internal Services,,6 - Junior Officer,Internal Services,80%,Part Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,0,,N,,20 to 29,22,Germany,Europe,Europe,01-04-2020,0,0.89302752
127,Male,1 - Executive,N,,No,No,0.50,No,Y,Finance,,1 - Executive,Finance,Full Time,Full Time,,,,,2,1 - Executive,N,3,50 to 59,55,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.655351833
128,Male,1 - Executive,N,,No,No,0.50,No,Y,Strategy,,1 - Executive,Strategy,Full Time,Full Time,,,,,3,1 - Executive,N,2,40 to 49,42,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.072642727
129,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.124143832
130,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,24,Germany,Europe,Europe,01-04-2018,2,0.60502647
131,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.485660208
132,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,4,20 to 29,25,Germany,Europe,Europe,01-04-2018,2,0.874332839
133,Female,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,38,Russia,Europe,Europe,01-04-2017,3,0.819921254
134,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,32,France,Europe,Europe,01-04-2012,8,0.67901707
135,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,70%,Part Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,16 to 19,19,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.008655597
136,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,26,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.27770491
137,Male,3 - Senior Manager,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,,2 - Director,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,40,France,Europe,Europe,01-04-2018,2,0.763394377
138,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,HR,,5 - Senior Officer,HR,Full Time,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,6,6 - Junior Officer,N,2,30 to 39,30,Sweden,Europe,Europe,01-04-2014,6,0.78702134
139,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,27,Italy,Europe,Europe,01-04-2018,2,0.858399622
140,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,5,3 - Senior Manager,N,3,30 to 39,39,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.535511884
141,Male,3 - Senior Manager,N,4,No,Yes,0.50,No,Y,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,1,4 - Manager,Y,2,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.299265656
142,Male,3 - Senior Manager,Y,,No,No,0.50,No,N,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,,N,,30 to 39,34,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.746261518
143,Female,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,,Operations,50%,Part Time,,,,,2,6 - Junior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.786372012
144,Male,1 - Executive,Y,,No,No,0.50,No,N,Strategy,,1 - Executive,Strategy,Full Time,Full Time,,,,,0,,N,,40 to 49,49,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.739516876
145,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,4,4 - Manager,N,3,30 to 39,36,Spain,Europe,Europe,01-04-2016,4,0.728979469
146,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,26,France,Europe,Europe,01-04-2017,3,0.663636516
147,Female,4 - Manager,Y,,No,No,0.50,No,N,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,0,,N,,40 to 49,42,Germany,Europe,Europe,01-04-2020,0,0.311207146
148,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.425890371
149,Male,4 - Manager,N,4,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,36,Germany,Europe,Europe,01-04-2015,5,0.028446947
150,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,36,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.565492006
151,Female,5 - Senior Officer,N,,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,3,5 - Senior Officer,N,3,40 to 49,41,Italy,Europe,Europe,01-04-2016,4,0.156251808
152,Male,2 - Director,N,2,No,Yes,0.50,No,Y,HR,,2 - Director,HR,Full Time,Full Time,Inconclusive,2 - Director & HR,Uneven - Men benefit,2 - Director,6,2 - Director,N,3,40 to 49,42,France,Europe,Europe,01-04-2012,8,0.590234194
153,Female,3 - Senior Manager,Y,,No,No,0.50,No,N,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,0,,N,,40 to 49,40,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.261037971
154,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.198448768
155,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.73677551
156,Male,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,5,6 - Junior Officer,N,3,30 to 39,39,Italy,Europe,Europe,01-04-2015,5,0.832765815
157,Female,5 - Senior Officer,Y,,No,No,0.50,No,N,Operations,,5 - Senior Officer,Operations,90%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,0,,N,,20 to 29,28,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.209385017
158,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.668860367
159,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,30 to 39,39,Germany,Europe,Europe,01-04-2017,3,0.630001039
160,Male,3 - Senior Manager,N,1,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,1,4 - Manager,Y,2,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.953787974
161,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.681806759
162,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,01-04-2017,3,0.265535813
163,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Finance,,4 - Manager,Finance,Full Time,Full Time,Inconclusive,4 - Manager & Finance,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,36,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.146909703
164,Male,5 - Senior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,7,5 - Senior Officer,N,3,50 to 59,56,Netherlands,Europe,Europe,01-04-2011,9,0.379198285
165,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,26,France,Europe,Europe,01-04-2019,1,0.944968043
166,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2013,7,0.174598366
167,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,40,Germany,Europe,Europe,01-04-2017,3,0.564865755
168,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,25,France,Europe,Europe,01-04-2011,9,0.373152715
169,Female,5 - Senior Officer,N,1,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,32,France,Europe,Europe,01-04-2018,2,0.802268362
170,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.944363247
171,Female,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,80%,Part Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,2,40 to 49,41,Italy,Europe,Europe,01-04-2011,9,0.300524177
172,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,HR,,3 - Senior Manager,HR,Full Time,Full Time,Inconclusive,3 - Senior Manager & HR,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,2,30 to 39,36,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.818265861
173,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,40%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,30,Italy,Europe,Europe,01-04-2013,7,0.361044826
174,Male,2 - Director,N,2,No,Yes,0.50,No,Y,Operations,,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,3,2 - Director,N,2,40 to 49,44,France,Europe,Europe,01-04-2011,9,0.485514674
175,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Finance,,4 - Manager,Finance,Full Time,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,36,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.50183595
176,Female,3 - Senior Manager,N,2,Yes,Yes,0.50,No,Y,Internal Services,,2 - Director,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,2,40 to 49,46,France,Europe,Europe,01-04-2016,4,0.720082791
177,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,30,Spain,Europe,Europe,01-04-2015,5,0.396076476
178,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,5 - Senior Officer,Internal Services,90%,Part Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,2,5 - Senior Officer,N,4,30 to 39,34,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.36813286
179,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,30 to 39,33,Germany,Europe,Europe,01-04-2015,5,0.032235329
180,Male,3 - Senior Manager,N,2,No,No,0.50,Yes,Y,HR,FY20,,HR,Full Time,Full Time,,,,,2,3 - Senior Manager,N,3,30 to 39,34,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.954084499
181,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,2,20 to 29,29,Italy,Europe,Europe,01-04-2012,8,0.604756631
182,Female,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,2,6 - Junior Officer,N,3,40 to 49,44,Germany,Europe,Europe,01-04-2018,2,0.744334335
183,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,60%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,,20 to 29,28,United States,Americas,Elsewhere,01-04-2017,3,0.300711592
184,Male,6 - Junior Officer,Y,,No,No,0.50,No,N,Internal Services,,6 - Junior Officer,Internal Services,80%,Part Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,0,,N,,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.223312981
185,Male,6 - Junior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,,N,,20 to 29,25,Germany,Europe,Europe,01-04-2020,0,0.485162923
